a,b,exponent,reliable,a_minus_b
0.10,0.10,0.5425,1,0.00
0.10,0.33,0.6793,1,-0.23
0.10,0.55,0.6726,1,-0.45
0.10,0.78,0.6668,1,-0.68
0.10,1.00,0.6662,1,-0.90
0.33,0.10,0.1932,1,0.23
0.33,0.33,0.9844,1,0.00
0.33,0.55,0.6380,1,-0.23
0.33,0.78,0.6607,1,-0.45
0.33,1.00,0.6643,1,-0.68
0.55,0.10,0.1161,1,0.45
0.55,0.33,0.0000,1,0.23
0.55,0.55,1.1042,1,0.00
0.55,0.78,0.6393,1,-0.22
0.55,1.00,0.6602,1,-0.45
0.78,0.10,0.2391,1,0.68
0.78,0.33,0.1789,1,0.45
0.78,0.55,0.0000,1,0.22
0.78,0.78,1.0179,1,0.00
0.78,1.00,0.6503,1,-0.22
1.00,0.10,0.2412,1,0.90
1.00,0.33,0.2408,1,0.68
1.00,0.55,0.1550,1,0.45
1.00,0.78,0.0000,1,0.22
1.00,1.00,0.9896,1,0.00
