a,b,exponent,reliable,a_minus_b
0.10,0.10,0.6871,1,0.00
0.10,0.33,0.6722,1,-0.23
0.10,0.55,0.6706,1,-0.45
0.10,0.78,0.6700,1,-0.68
0.10,1.00,0.6700,1,-0.90
0.33,0.10,0.6031,1,0.23
0.33,0.33,0.8801,1,0.00
0.33,0.55,0.6647,1,-0.23
0.33,0.78,0.6690,1,-0.45
0.33,1.00,0.6697,1,-0.68
0.55,0.10,0.6329,1,0.45
0.55,0.33,0.5868,1,0.23
0.55,0.55,1.0505,1,0.00
0.55,0.78,0.6656,1,-0.22
0.55,1.00,0.6691,1,-0.45
0.78,0.10,0.6478,1,0.68
0.78,0.33,0.6354,1,0.45
0.78,0.55,0.5730,1,0.22
0.78,0.78,0.9806,1,0.00
0.78,1.00,0.6675,1,-0.22
1.00,0.10,0.6525,1,0.90
1.00,0.33,0.6464,1,0.68
1.00,0.55,0.6299,1,0.45
1.00,0.78,0.5256,1,0.22
1.00,1.00,0.9371,1,0.00
