a,b,exponent,reliable,a_minus_b
0.10,0.10,0.7517,1,0.00
0.10,0.33,0.0738,1,-0.23
0.10,0.55,0.0130,1,-0.45
0.10,0.78,0.0000,1,-0.68
0.10,1.00,0.0000,1,-0.90
0.33,0.10,0.0620,1,0.23
0.33,0.33,0.7148,1,0.00
0.33,0.55,0.0048,1,-0.23
0.33,0.78,0.0107,1,-0.45
0.33,1.00,0.0000,1,-0.68
0.55,0.10,0.0000,1,0.45
0.55,0.33,0.0081,1,0.23
0.55,0.55,1.0116,1,0.00
0.55,0.78,0.0000,1,-0.22
0.55,1.00,0.0000,1,-0.45
0.78,0.10,0.0174,1,0.68
0.78,0.33,0.0000,1,0.45
0.78,0.55,0.2204,1,0.22
0.78,0.78,1.0098,1,0.00
0.78,1.00,0.0000,1,-0.22
1.00,0.10,0.0066,1,0.90
1.00,0.33,0.0288,1,0.68
1.00,0.55,0.0000,1,0.45
1.00,0.78,0.3364,1,0.22
1.00,1.00,0.9815,1,0.00
