a,b,exponent,reliable,a_minus_b
0.10,0.10,0.9084,1,0.00
0.10,0.33,0.6057,1,-0.23
0.10,0.55,0.5947,1,-0.45
0.10,0.78,0.5990,1,-0.68
0.10,1.00,0.5993,1,-0.90
0.33,0.10,0.5985,1,0.23
0.33,0.33,0.7034,1,0.00
0.33,0.55,0.5862,1,-0.23
0.33,0.78,0.5956,1,-0.45
0.33,1.00,0.6018,1,-0.68
0.55,0.10,0.7332,1,0.45
0.55,0.33,0.6535,1,0.23
0.55,0.55,0.9870,1,0.00
0.55,0.78,0.5940,1,-0.22
0.55,1.00,0.5995,1,-0.45
0.78,0.10,0.7521,1,0.68
0.78,0.33,0.7290,1,0.45
0.78,0.55,0.6921,1,0.22
0.78,0.78,0.9817,1,0.00
0.78,1.00,0.5962,1,-0.22
1.00,0.10,0.7580,1,0.90
1.00,0.33,0.7520,1,0.68
1.00,0.55,0.7214,1,0.45
1.00,0.78,0.8159,1,0.22
1.00,1.00,0.9379,1,0.00
