a,b,exponent,reliable,a_minus_b
0.10,0.10,0.2575,1,0.00
0.10,0.33,0.2397,1,-0.23
0.10,0.55,0.2434,1,-0.45
0.10,0.78,0.2425,1,-0.68
0.10,1.00,0.2446,1,-0.90
0.33,0.10,0.2405,1,0.23
0.33,0.33,0.3935,1,0.00
0.33,0.55,0.2431,1,-0.23
0.33,0.78,0.2438,1,-0.45
0.33,1.00,0.2458,1,-0.68
0.55,0.10,0.2766,1,0.45
0.55,0.33,0.1743,1,0.23
0.55,0.55,0.7523,1,0.00
0.55,0.78,0.2382,1,-0.22
0.55,1.00,0.2466,1,-0.45
0.78,0.10,0.2791,1,0.68
0.78,0.33,0.2848,1,0.45
0.78,0.55,0.1768,1,0.22
0.78,0.78,0.9704,1,0.00
0.78,1.00,0.2403,1,-0.22
1.00,0.10,0.2826,1,0.90
1.00,0.33,0.2769,1,0.68
1.00,0.55,0.1767,1,0.45
1.00,0.78,0.1749,1,0.22
1.00,1.00,0.9087,1,0.00
