a,b,exponent,reliable,a_minus_b
0.10,0.10,0.7748,1,0.00
0.10,0.33,0.7501,1,-0.23
0.10,0.55,0.7723,1,-0.45
0.10,0.78,0.7718,1,-0.68
0.10,1.00,0.7752,1,-0.90
0.33,0.10,0.5626,1,0.23
0.33,0.33,0.7205,1,0.00
0.33,0.55,0.7553,1,-0.23
0.33,0.78,0.7677,1,-0.45
0.33,1.00,0.7748,1,-0.68
0.55,0.10,0.7238,1,0.45
0.55,0.33,0.6327,1,0.23
0.55,0.55,1.0100,1,0.00
0.55,0.78,0.7629,1,-0.22
0.55,1.00,0.7692,1,-0.45
0.78,0.10,0.7461,1,0.68
0.78,0.33,0.7227,1,0.45
0.78,0.55,0.4735,1,0.22
0.78,0.78,1.0104,1,0.00
0.78,1.00,0.7673,1,-0.22
1.00,0.10,0.7544,1,0.90
1.00,0.33,0.7364,1,0.68
1.00,0.55,0.7111,1,0.45
1.00,0.78,0.5619,1,0.22
1.00,1.00,0.9803,1,0.00
