a,b,exponent,reliable,a_minus_b
0.10,0.10,0.4251,1,0.00
0.10,0.33,0.0424,1,-0.23
0.10,0.55,0.0000,0,-0.45
0.10,0.78,0.0000,0,-0.68
0.10,1.00,0.0000,0,-0.90
0.33,0.10,1.0229,1,0.23
0.33,0.33,0.7055,1,0.00
0.33,0.55,0.0000,0,-0.23
0.33,0.78,0.0000,0,-0.45
0.33,1.00,0.0000,0,-0.68
0.55,0.10,0.9165,1,0.45
0.55,0.33,0.9922,1,0.23
0.55,0.55,0.7970,1,0.00
0.55,0.78,0.0000,0,-0.22
0.55,1.00,0.0000,0,-0.45
0.78,0.10,0.7342,1,0.68
0.78,0.33,0.9914,1,0.45
0.78,0.55,0.9852,1,0.22
0.78,0.78,1.0056,1,0.00
0.78,1.00,0.0000,0,-0.22
1.00,0.10,0.7268,1,0.90
1.00,0.33,0.9886,1,0.68
1.00,0.55,0.9895,1,0.45
1.00,0.78,0.9782,1,0.22
1.00,1.00,0.9884,1,0.00
