a,b,exponent,reliable,a_minus_b
0.10,0.10,0.5122,1,0.00
0.10,0.33,0.0000,0,-0.23
0.10,0.55,0.0000,0,-0.45
0.10,0.78,0.0000,0,-0.68
0.10,1.00,0.0000,0,-0.90
0.33,0.10,0.0000,0,0.23
0.33,0.33,0.4275,1,0.00
0.33,0.55,0.0000,0,-0.23
0.33,0.78,0.0000,0,-0.45
0.33,1.00,0.0000,0,-0.68
0.55,0.10,0.0000,0,0.45
0.55,0.33,0.0000,0,0.23
0.55,0.55,0.7990,1,0.00
0.55,0.78,0.0000,0,-0.22
0.55,1.00,0.0000,0,-0.45
0.78,0.10,0.0000,0,0.68
0.78,0.33,0.0000,0,0.45
0.78,0.55,0.0000,0,0.22
0.78,0.78,1.0414,1,0.00
0.78,1.00,0.0000,0,-0.22
1.00,0.10,0.0000,0,0.90
1.00,0.33,0.0000,0,0.68
1.00,0.55,0.0000,0,0.45
1.00,0.78,0.0000,0,0.22
1.00,1.00,1.0036,1,0.00
