a,b,exponent,reliable,a_minus_b
0.10,0.10,0.1970,1,0.00
0.10,0.33,0.2162,1,-0.23
0.10,0.55,0.1730,1,-0.45
0.10,0.78,0.1537,1,-0.68
0.10,1.00,0.1221,1,-0.90
0.33,0.10,0.9479,1,0.23
0.33,0.33,0.8054,1,0.00
0.33,0.55,0.1493,1,-0.23
0.33,0.78,0.1201,1,-0.45
0.33,1.00,0.1280,1,-0.68
0.55,0.10,0.9127,1,0.45
0.55,0.33,0.9705,1,0.23
0.55,0.55,0.7788,1,0.00
0.55,0.78,0.1398,1,-0.22
0.55,1.00,0.1239,1,-0.45
0.78,0.10,0.8347,1,0.68
0.78,0.33,0.9800,1,0.45
0.78,0.55,0.9542,1,0.22
0.78,0.78,1.0279,1,0.00
0.78,1.00,0.1438,1,-0.22
1.00,0.10,0.8046,1,0.90
1.00,0.33,0.9793,1,0.68
1.00,0.55,0.9723,1,0.45
1.00,0.78,0.9294,1,0.22
1.00,1.00,0.9917,1,0.00
