

alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.871973
0.2000,0.2000,-0.9941,0.872885
0.2000,0.2000,-0.9766,0.877972
0.2000,0.2000,-0.9477,0.878518
0.2000,0.2000,-0.9076,0.876076
0.2000,0.2000,-0.8569,0.871130
0.2000,0.2000,-0.7961,0.865322
0.2000,0.2000,-0.7260,0.859685
0.2000,0.2000,-0.6474,0.854620
0.2000,0.2000,-0.5612,0.850135
0.2000,0.2000,-0.4684,0.846184
0.2000,0.2000,-0.3701,0.842722
0.2000,0.2000,-0.2675,0.839710
0.2000,0.2000,-0.1618,0.837114
0.2000,0.2000,-0.0541,0.834902
0.2000,0.2000,0.0541,0.833044
0.2000,0.2000,0.1618,0.831517
0.2000,0.2000,0.2675,0.830298
0.2000,0.2000,0.3701,0.829364
0.2000,0.2000,0.4684,0.828700
0.2000,0.2000,0.5612,0.828288
0.2000,0.2000,0.6474,0.828114
0.2000,0.2000,0.7260,0.828164
0.2000,0.2000,0.7961,0.828429
0.2000,0.2000,0.8569,0.828897
0.2000,0.2000,0.9076,0.829560
0.2000,0.2000,0.9477,0.830411
0.2000,0.2000,0.9766,0.831443
0.2000,0.2000,0.9941,0.832650
0.2000,0.2000,1.0000,0.834029
0.2533,0.2000,-1.0000,0.624457
0.2533,0.2000,-0.9941,0.630639
0.2533,0.2000,-0.9766,0.689968
0.2533,0.2000,-0.9477,0.870987
0.2533,0.2000,-0.9076,1.053222
0.2533,0.2000,-0.8569,1.194970
0.2533,0.2000,-0.7961,1.261407
0.2533,0.2000,-0.7260,1.303887
0.2533,0.2000,-0.6474,1.315080
0.2533,0.2000,-0.5612,1.267753
0.2533,0.2000,-0.4684,1.171524
0.2533,0.2000,-0.3701,1.036775
0.2533,0.2000,-0.2675,0.856777
0.2533,0.2000,-0.1618,0.694331
0.2533,0.2000,-0.0541,0.695644
0.2533,0.2000,0.0541,0.697004
0.2533,0.2000,0.1618,0.698404
0.2533,0.2000,0.2675,0.699839
0.2533,0.2000,0.3701,0.701302
0.2533,0.2000,0.4684,0.702790
0.2533,0.2000,0.5612,0.704299
0.2533,0.2000,0.6474,0.705826
0.2533,0.2000,0.7260,0.707369
0.2533,0.2000,0.7961,0.708925
0.2533,0.2000,0.8569,0.710493
0.2533,0.2000,0.9076,0.712072
0.2533,0.2000,0.9477,0.713660
0.2533,0.2000,0.9766,0.715259
0.2533,0.2000,0.9941,0.716866
0.2533,0.2000,1.0000,0.718482
0.2533,0.2533,-1.0000,0.943698
0.2533,0.2533,-0.9941,0.943725
0.2533,0.2533,-0.9766,0.942112
0.2533,0.2533,-0.9477,0.938848
0.2533,0.2533,-0.9076,0.933473
0.2533,0.2533,-0.8569,0.927914
0.2533,0.2533,-0.7961,0.922779
0.2533,0.2533,-0.7260,0.918121
0.2533,0.2533,-0.6474,0.913922
0.2533,0.2533,-0.5612,0.910160
0.2533,0.2533,-0.4684,0.906815
0.2533,0.2533,-0.3701,0.903865
0.2533,0.2533,-0.2675,0.901291
0.2533,0.2533,-0.1618,0.899073
0.2533,0.2533,-0.0541,0.897192
0.2533,0.2533,0.0541,0.895630
0.2533,0.2533,0.1618,0.894369
0.2533,0.2533,0.2675,0.893394
0.2533,0.2533,0.3701,0.892688
0.2533,0.2533,0.4684,0.892238
0.2533,0.2533,0.5612,0.892030
0.2533,0.2533,0.6474,0.892052
0.2533,0.2533,0.7260,0.892291
0.2533,0.2533,0.7961,0.892738
0.2533,0.2533,0.8569,0.893381
0.2533,0.2533,0.9076,0.894213
0.2533,0.2533,0.9477,0.895224
0.2533,0.2533,0.9766,0.896408
0.2533,0.2533,0.9941,0.897757
0.2533,0.2533,1.0000,0.899265
0.3067,0.2000,-1.0000,0.528702
0.3067,0.2000,-0.9941,0.492781
0.3067,0.2000,-0.9766,0.439119
0.3067,0.2000,-0.9477,0.384056
0.3067,0.2000,-0.9076,0.330227
0.3067,0.2000,-0.8569,0.278442
0.3067,0.2000,-0.7961,0.242946
0.3067,0.2000,-0.7260,0.260790
0.3067,0.2000,-0.6474,0.323455
0.3067,0.2000,-0.5612,0.510556
0.3067,0.2000,-0.4684,0.771227
0.3067,0.2000,-0.3701,0.965318
0.3067,0.2000,-0.2675,1.020102
0.3067,0.2000,-0.1618,0.898980
0.3067,0.2000,-0.0541,0.567419
0.3067,0.2000,0.0541,0.424522
0.3067,0.2000,0.1618,0.439879
0.3067,0.2000,0.2675,0.453514
0.3067,0.2000,0.3701,0.465685
0.3067,0.2000,0.4684,0.476604
0.3067,0.2000,0.5612,0.486439
0.3067,0.2000,0.6474,0.495330
0.3067,0.2000,0.7260,0.503392
0.3067,0.2000,0.7961,0.510723
0.3067,0.2000,0.8569,0.517403
0.3067,0.2000,0.9076,0.523502
0.3067,0.2000,0.9477,0.529078
0.3067,0.2000,0.9766,0.534181
0.3067,0.2000,0.9941,0.538855
0.3067,0.2000,1.0000,0.543137
0.3067,0.2533,-1.0000,0.521082
0.3067,0.2533,-0.9941,0.534917
0.3067,0.2533,-0.9766,0.612703
0.3067,0.2533,-0.9477,0.795613
0.3067,0.2533,-0.9076,0.984810
0.3067,0.2533,-0.8569,1.099816
0.3067,0.2533,-0.7961,1.138419
0.3067,0.2533,-0.7260,1.155834
0.3067,0.2533,-0.6474,1.168445
0.3067,0.2533,-0.5612,1.183599
0.3067,0.2533,-0.4684,1.145037
0.3067,0.2533,-0.3701,1.080237
0.3067,0.2533,-0.2675,0.954508
0.3067,0.2533,-0.1618,0.788754
0.3067,0.2533,-0.0541,0.629347
0.3067,0.2533,0.0541,0.631732
0.3067,0.2533,0.1618,0.634030
0.3067,0.2533,0.2675,0.636245
0.3067,0.2533,0.3701,0.638377
0.3067,0.2533,0.4684,0.640431
0.3067,0.2533,0.5612,0.642409
0.3067,0.2533,0.6474,0.644315
0.3067,0.2533,0.7260,0.646150
0.3067,0.2533,0.7961,0.647919
0.3067,0.2533,0.8569,0.649623
0.3067,0.2533,0.9076,0.651266
0.3067,0.2533,0.9477,0.652849
0.3067,0.2533,0.9766,0.654376
0.3067,0.2533,0.9941,0.655849
0.3067,0.2533,1.0000,0.657270
0.3067,0.3067,-1.0000,0.999762
0.3067,0.3067,-0.9941,0.996225
0.3067,0.3067,-0.9766,0.991454
0.3067,0.3067,-0.9477,0.986612
0.3067,0.3067,-0.9076,0.982040
0.3067,0.3067,-0.8569,0.977813
0.3067,0.3067,-0.7961,0.973931
0.3067,0.3067,-0.7260,0.970392
0.3067,0.3067,-0.6474,0.967191
0.3067,0.3067,-0.5612,0.964322
0.3067,0.3067,-0.4684,0.961775
0.3067,0.3067,-0.3701,0.959542
0.3067,0.3067,-0.2675,0.957612
0.3067,0.3067,-0.1618,0.955973
0.3067,0.3067,-0.0541,0.954615
