alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.901849
0.2000,0.2000,-0.9941,0.893428
0.2000,0.2000,-0.9766,0.884965
0.2000,0.2000,-0.9477,0.877322
0.2000,0.2000,-0.9076,0.870432
0.2000,0.2000,-0.8569,0.864235
0.2000,0.2000,-0.7961,0.858672
0.2000,0.2000,-0.7260,0.853695
0.2000,0.2000,-0.6474,0.849256
0.2000,0.2000,-0.5612,0.845315
0.2000,0.2000,-0.4684,0.841834
0.2000,0.2000,-0.3701,0.838778
0.2000,0.2000,-0.2675,0.836119
0.2000,0.2000,-0.1618,0.833827
0.2000,0.2000,-0.0541,0.831878
0.2000,0.2000,0.0541,0.830250
0.2000,0.2000,0.1618,0.828922
0.2000,0.2000,0.2675,0.827877
0.2000,0.2000,0.3701,0.827099
0.2000,0.2000,0.4684,0.826572
0.2000,0.2000,0.5612,0.826285
0.2000,0.2000,0.6474,0.826226
0.2000,0.2000,0.7260,0.826385
0.2000,0.2000,0.7961,0.826752
0.2000,0.2000,0.8569,0.827321
0.2000,0.2000,0.9076,0.828085
0.2000,0.2000,0.9477,0.829039
0.2000,0.2000,0.9766,0.830177
0.2000,0.2000,0.9941,0.831496
0.2000,0.2000,1.0000,0.832994
0.2533,0.2000,-1.0000,1.173430
0.2533,0.2000,-0.9941,1.179042
0.2533,0.2000,-0.9766,1.189191
0.2533,0.2000,-0.9477,1.201046
0.2533,0.2000,-0.9076,1.216652
0.2533,0.2000,-0.8569,1.235653
0.2533,0.2000,-0.7961,1.259644
0.2533,0.2000,-0.7260,1.291345
0.2533,0.2000,-0.6474,1.297586
0.2533,0.2000,-0.5612,1.250555
0.2533,0.2000,-0.4684,1.157373
0.2533,0.2000,-0.3701,1.028381
0.2533,0.2000,-0.2675,0.857475
0.2533,0.2000,-0.1618,0.704882
0.2533,0.2000,-0.0541,0.705526
0.2533,0.2000,0.0541,0.706249
0.2533,0.2000,0.1618,0.707046
0.2533,0.2000,0.2675,0.707907
0.2533,0.2000,0.3701,0.708829
0.2533,0.2000,0.4684,0.709804
0.2533,0.2000,0.5612,0.710828
0.2533,0.2000,0.6474,0.711898
0.2533,0.2000,0.7260,0.713010
0.2533,0.2000,0.7961,0.714161
0.2533,0.2000,0.8569,0.715349
0.2533,0.2000,0.9076,0.716571
