alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.973057
0.2000,0.2000,-0.9941,0.921261
0.2000,0.2000,-0.9766,0.868058
0.2000,0.2000,-0.9477,0.825719
0.2000,0.2000,-0.9076,0.786563
0.2000,0.2000,-0.8569,0.754602
0.2000,0.2000,-0.7961,0.716664
0.2000,0.2000,-0.7260,0.680734
0.2000,0.2000,-0.6474,0.652008
0.2000,0.2000,-0.5612,0.619027
0.2000,0.2000,-0.4684,0.589244
0.2000,0.2000,-0.3701,0.559919
0.2000,0.2000,-0.2675,0.535194
0.2000,0.2000,-0.1618,0.513236
0.2000,0.2000,-0.0541,0.491802
0.2000,0.2000,0.0541,0.468707
0.2000,0.2000,0.1618,0.454173
0.2000,0.2000,0.2675,0.436721
0.2000,0.2000,0.3701,0.426501
0.2000,0.2000,0.4684,0.419642
0.2000,0.2000,0.5612,0.410233
0.2000,0.2000,0.6474,0.404701
0.2000,0.2000,0.7260,0.396990
0.2000,0.2000,0.7961,0.389954
0.2000,0.2000,0.8569,0.386457
0.2000,0.2000,0.9076,0.386947
0.2000,0.2000,0.9477,0.383579
0.2000,0.2000,0.9766,0.386991
0.2000,0.2000,0.9941,0.387393
0.2000,0.2000,1.0000,0.395237
0.2533,0.2000,-1.0000,0.498921
0.2533,0.2000,-0.9941,0.529833
0.2533,0.2000,-0.9766,0.568315
0.2533,0.2000,-0.9477,0.606058
0.2533,0.2000,-0.9076,0.670242
0.2533,0.2000,-0.8569,0.785349
0.2533,0.2000,-0.7961,0.957820
0.2533,0.2000,-0.7260,1.099935
0.2533,0.2000,-0.6474,1.088157
0.2533,0.2000,-0.5612,1.020811
0.2533,0.2000,-0.4684,0.919841
0.2533,0.2000,-0.3701,0.796433
0.2533,0.2000,-0.2675,0.636621
0.2533,0.2000,-0.1618,0.472809
0.2533,0.2000,-0.0541,0.459596
0.2533,0.2000,0.0541,0.441156
0.2533,0.2000,0.1618,0.425442
0.2533,0.2000,0.2675,0.414260
0.2533,0.2000,0.3701,0.403895
0.2533,0.2000,0.4684,0.399696
0.2533,0.2000,0.5612,0.383472
0.2533,0.2000,0.6474,0.377657
0.2533,0.2000,0.7260,0.368645
0.2533,0.2000,0.7961,0.363688
0.2533,0.2000,0.8569,0.356402
0.2533,0.2000,0.9076,0.350878
0.2533,0.2000,0.9477,0.347186
0.2533,0.2000,0.9766,0.344644
0.2533,0.2000,0.9941,0.339451
0.2533,0.2000,1.0000,0.334275
0.2533,0.2533,-1.0000,0.835281
0.2533,0.2533,-0.9941,0.798344
0.2533,0.2533,-0.9766,0.764964
0.2533,0.2533,-0.9477,0.736028
0.2533,0.2533,-0.9076,0.708901
0.2533,0.2533,-0.8569,0.685523
0.2533,0.2533,-0.7961,0.664227
0.2533,0.2533,-0.7260,0.642706
0.2533,0.2533,-0.6474,0.624129
0.2533,0.2533,-0.5612,0.605052
