alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.350742
0.2000,0.2000,-0.9941,0.921907
0.2000,0.2000,-0.9766,0.958145
0.2000,0.2000,-0.9477,0.970005
0.2000,0.2000,-0.9076,0.976777
0.2000,0.2000,-0.8569,0.980627
0.2000,0.2000,-0.7961,0.982512
0.2000,0.2000,-0.7260,0.981720
0.2000,0.2000,-0.6474,0.984252
0.2000,0.2000,-0.5612,0.983291
0.2000,0.2000,-0.4684,0.980882
0.2000,0.2000,-0.3701,0.980787
0.2000,0.2000,-0.2675,0.984096
0.2000,0.2000,-0.1618,0.986776
0.2000,0.2000,-0.0541,0.987456
0.2000,0.2000,0.0541,0.987170
0.2000,0.2000,0.1618,0.983535
0.2000,0.2000,0.2675,0.979845
0.2000,0.2000,0.3701,0.976440
0.2000,0.2000,0.4684,0.978613
0.2000,0.2000,0.5612,0.977553
0.2000,0.2000,0.6474,0.979178
0.2000,0.2000,0.7260,0.979537
0.2000,0.2000,0.7961,0.978638
0.2000,0.2000,0.8569,0.979435
0.2000,0.2000,0.9076,0.980096
0.2000,0.2000,0.9477,0.980617
0.2000,0.2000,0.9766,0.980951
0.2000,0.2000,0.9941,0.980669
0.2000,0.2000,1.0000,0.978468
0.2533,0.2000,-1.0000,1.232820
0.2533,0.2000,-0.9941,1.255667
0.2533,0.2000,-0.9766,1.283746
0.2533,0.2000,-0.9477,1.319885
0.2533,0.2000,-0.9076,1.368397
0.2533,0.2000,-0.8569,1.436077
0.2533,0.2000,-0.7961,1.550968
0.2533,0.2000,-0.7260,1.788349
0.2533,0.2000,-0.6474,2.115216
0.2533,0.2000,-0.5612,1.991299
0.2533,0.2000,-0.4684,1.779369
0.2533,0.2000,-0.3701,1.415155
0.2533,0.2000,-0.2675,0.645451
0.2533,0.2000,-0.1618,-0.316716
0.2533,0.2000,-0.0541,0.409192
0.2533,0.2000,0.0541,0.589504
0.2533,0.2000,0.1618,0.688107
0.2533,0.2000,0.2675,0.751683
0.2533,0.2000,0.3701,0.798740
0.2533,0.2000,0.4684,0.832482
0.2533,0.2000,0.5612,0.860134
0.2533,0.2000,0.6474,0.881886
0.2533,0.2000,0.7260,0.901141
0.2533,0.2000,0.7961,0.916642
0.2533,0.2000,0.8569,0.931512
0.2533,0.2000,0.9076,0.944575
0.2533,0.2000,0.9477,0.956628
0.2533,0.2000,0.9766,0.967072
0.2533,0.2000,0.9941,0.976121
0.2533,0.2000,1.0000,0.984293
0.2533,0.2533,-1.0000,0.355790
0.2533,0.2533,-0.9941,0.898197
0.2533,0.2533,-0.9766,0.936834
0.2533,0.2533,-0.9477,0.954606
0.2533,0.2533,-0.9076,0.964873
0.2533,0.2533,-0.8569,0.970769
0.2533,0.2533,-0.7961,0.973466
0.2533,0.2533,-0.7260,0.975472
0.2533,0.2533,-0.6474,0.973916
0.2533,0.2533,-0.5612,0.976022
0.2533,0.2533,-0.4684,0.977227
0.2533,0.2533,-0.3701,0.977104
0.2533,0.2533,-0.2675,0.980077
0.2533,0.2533,-0.1618,0.979599
0.2533,0.2533,-0.0541,0.979745
0.2533,0.2533,0.0541,0.980327
0.2533,0.2533,0.1618,0.973171
0.2533,0.2533,0.2675,0.973517
0.2533,0.2533,0.3701,0.976843
0.2533,0.2533,0.4684,0.968454
0.2533,0.2533,0.5612,0.972652
0.2533,0.2533,0.6474,0.975235
0.2533,0.2533,0.7260,0.978172
0.2533,0.2533,0.7961,0.980624
0.2533,0.2533,0.8569,0.978755
0.2533,0.2533,0.9076,0.981316
0.2533,0.2533,0.9477,0.979053
0.2533,0.2533,0.9766,0.977361
0.2533,0.2533,0.9941,0.975522
0.2533,0.2533,1.0000,0.974321
0.3067,0.2000,-1.0000,1.083846
0.3067,0.2000,-0.9941,1.089517
0.3067,0.2000,-0.9766,1.095864
0.3067,0.2000,-0.9477,1.103397
0.3067,0.2000,-0.9076,1.112447
0.3067,0.2000,-0.8569,1.123219
