alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.970709
0.2000,0.2000,-0.9941,0.919576
0.2000,0.2000,-0.9766,0.869027
0.2000,0.2000,-0.9477,0.825824
0.2000,0.2000,-0.9076,0.791526
0.2000,0.2000,-0.8569,0.759616
0.2000,0.2000,-0.7961,0.731888
0.2000,0.2000,-0.7260,0.705713
0.2000,0.2000,-0.6474,0.684483
0.2000,0.2000,-0.5612,0.665898
0.2000,0.2000,-0.4684,0.648842
0.2000,0.2000,-0.3701,0.633756
0.2000,0.2000,-0.2675,0.620753
0.2000,0.2000,-0.1618,0.610693
0.2000,0.2000,-0.0541,0.600471
0.2000,0.2000,0.0541,0.592642
0.2000,0.2000,0.1618,0.584990
0.2000,0.2000,0.2675,0.578167
0.2000,0.2000,0.3701,0.574416
0.2000,0.2000,0.4684,0.571256
0.2000,0.2000,0.5612,0.568872
0.2000,0.2000,0.6474,0.567108
0.2000,0.2000,0.7260,0.564612
0.2000,0.2000,0.7961,0.563093
0.2000,0.2000,0.8569,0.565378
0.2000,0.2000,0.9076,0.566502
0.2000,0.2000,0.9477,0.567843
0.2000,0.2000,0.9766,0.568914
0.2000,0.2000,0.9941,0.572135
0.2000,0.2000,1.0000,0.577576
0.2533,0.2000,-1.0000,0.516084
0.2533,0.2000,-0.9941,0.550862
0.2533,0.2000,-0.9766,0.594000
0.2533,0.2000,-0.9477,0.653373
0.2533,0.2000,-0.9076,0.729627
0.2533,0.2000,-0.8569,0.851386
0.2533,0.2000,-0.7961,1.027905
0.2533,0.2000,-0.7260,1.111132
0.2533,0.2000,-0.6474,1.090589
0.2533,0.2000,-0.5612,1.019089
0.2533,0.2000,-0.4684,0.920963
0.2533,0.2000,-0.3701,0.797841
0.2533,0.2000,-0.2675,0.637537
0.2533,0.2000,-0.1618,0.474653
0.2533,0.2000,-0.0541,0.455629
0.2533,0.2000,0.0541,0.438994
0.2533,0.2000,0.1618,0.425059
0.2533,0.2000,0.2675,0.411992
0.2533,0.2000,0.3701,0.400628
0.2533,0.2000,0.4684,0.391408
0.2533,0.2000,0.5612,0.382531
0.2533,0.2000,0.6474,0.375047
0.2533,0.2000,0.7260,0.368296
0.2533,0.2000,0.7961,0.363846
