alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.417196
0.2000,0.2000,-0.9941,0.565904
0.2000,0.2000,-0.9766,0.609723
0.2000,0.2000,-0.9477,0.606590
0.2000,0.2000,-0.9076,0.631268
0.2000,0.2000,-0.8569,0.530839
0.2000,0.2000,-0.7961,0.498131
0.2000,0.2000,-0.7260,0.561855
0.2000,0.2000,-0.6474,0.527800
0.2000,0.2000,-0.5612,0.378205
0.2000,0.2000,-0.4684,0.295516
0.2000,0.2000,-0.3701,0.396186
0.2000,0.2000,-0.2675,0.325463
0.2000,0.2000,-0.1618,0.325062
0.2000,0.2000,-0.0541,0.300725
0.2000,0.2000,0.0541,0.296348
0.2000,0.2000,0.1618,0.287219
0.2000,0.2000,0.2675,0.287331
0.2000,0.2000,0.3701,0.283912
0.2000,0.2000,0.4684,0.277012
0.2000,0.2000,0.5612,0.272307
0.2000,0.2000,0.6474,0.281158
0.2000,0.2000,0.7260,0.277396
0.2000,0.2000,0.7961,0.279195
0.2000,0.2000,0.8569,0.277630
0.2000,0.2000,0.9076,0.273648
0.2000,0.2000,0.9477,0.275329
0.2000,0.2000,0.9766,0.276354
0.2000,0.2000,0.9941,0.286805
0.2000,0.2000,1.0000,0.279941
0.2533,0.2000,-1.0000,1.187982
0.2533,0.2000,-0.9941,1.216902
0.2533,0.2000,-0.9766,1.242077
0.2533,0.2000,-0.9477,1.277971
0.2533,0.2000,-0.9076,1.320081
0.2533,0.2000,-0.8569,1.381933
0.2533,0.2000,-0.7961,1.480741
0.2533,0.2000,-0.7260,1.654940
0.2533,0.2000,-0.6474,1.875231
0.2533,0.2000,-0.5612,1.864362
0.2533,0.2000,-0.4684,1.784914
0.2533,0.2000,-0.3701,1.578688
0.2533,0.2000,-0.2675,0.976697
0.2533,0.2000,-0.1618,0.073065
0.2533,0.2000,-0.0541,0.241954
0.2533,0.2000,0.0541,0.333288
0.2533,0.2000,0.1618,0.384974
0.2533,0.2000,0.2675,0.449817
0.2533,0.2000,0.3701,0.555661
0.2533,0.2000,0.4684,0.533111
0.2533,0.2000,0.5612,0.521134
0.2533,0.2000,0.6474,0.551408
0.2533,0.2000,0.7260,0.537488
0.2533,0.2000,0.7961,0.593951
0.2533,0.2000,0.8569,0.624380
0.2533,0.2000,0.9076,0.647573
0.2533,0.2000,0.9477,0.584074
0.2533,0.2000,0.9766,0.624640
0.2533,0.2000,0.9941,0.675845
0.2533,0.2000,1.0000,0.688997
0.2533,0.2533,-1.0000,0.411322
0.2533,0.2533,-0.9941,0.562127
0.2533,0.2533,-0.9766,0.627076
0.2533,0.2533,-0.9477,0.641936
0.2533,0.2533,-0.9076,0.604557
0.2533,0.2533,-0.8569,0.664554
0.2533,0.2533,-0.7961,0.591439
0.2533,0.2533,-0.7260,0.526349
0.2533,0.2533,-0.6474,0.580566
0.2533,0.2533,-0.5612,0.593580
0.2533,0.2533,-0.4684,0.509772
0.2533,0.2533,-0.3701,0.492498
0.2533,0.2533,-0.2675,0.549374
0.2533,0.2533,-0.1618,0.504353
0.2533,0.2533,-0.0541,0.504988
0.2533,0.2533,0.0541,0.455918
0.2533,0.2533,0.1618,0.342499
0.2533,0.2533,0.2675,0.462661
0.2533,0.2533,0.3701,0.336179
0.2533,0.2533,0.4684,0.326307
0.2533,0.2533,0.5612,0.345642
0.2533,0.2533,0.6474,0.325929
0.2533,0.2533,0.7260,0.321142
0.2533,0.2533,0.7961,0.323382
0.2533,0.2533,0.8569,0.322557
0.2533,0.2533,0.9076,0.322807
0.2533,0.2533,0.9477,0.326224
0.2533,0.2533,0.9766,0.322499
0.2533,0.2533,0.9941,0.325611
0.2533,0.2533,1.0000,0.476208
0.3067,0.2000,-1.0000,1.063455
0.3067,0.2000,-0.9941,1.074259
0.3067,0.2000,-0.9766,1.079207
0.3067,0.2000,-0.9477,1.088987
0.3067,0.2000,-0.9076,1.100131
0.3067,0.2000,-0.8569,1.110019
0.3067,0.2000,-0.7961,1.124456
0.3067,0.2000,-0.7260,1.139708
0.3067,0.2000,-0.6474,1.162629
0.3067,0.2000,-0.5612,1.194986
0.3067,0.2000,-0.4684,1.245809
0.3067,0.2000,-0.3701,1.345414
0.3067,0.2000,-0.2675,1.667596
0.3067,0.2000,-0.1618,1.646816
0.3067,0.2000,-0.0541,0.970533
0.3067,0.2000,0.0541,0.318352
0.3067,0.2000,0.1618,0.517101
0.3067,0.2000,0.2675,0.561091
0.3067,0.2000,0.3701,0.632304
0.3067,0.2000,0.4684,0.665340
0.3067,0.2000,0.5612,0.670482
0.3067,0.2000,0.6474,0.642520
0.3067,0.2000,0.7260,0.706229
0.3067,0.2000,0.7961,0.731575
0.3067,0.2000,0.8569,0.726382
0.3067,0.2000,0.9076,0.743421
0.3067,0.2000,0.9477,0.757363
0.3067,0.2000,0.9766,0.764446
0.3067,0.2000,0.9941,0.767954
0.3067,0.2000,1.0000,0.776900
0.3067,0.2533,-1.0000,1.153481
0.3067,0.2533,-0.9941,1.170594
0.3067,0.2533,-0.9766,1.190882
0.3067,0.2533,-0.9477,1.210661
0.3067,0.2533,-0.9076,1.243982
0.3067,0.2533,-0.8569,1.274556
0.3067,0.2533,-0.7961,1.317776
0.3067,0.2533,-0.7260,1.383116
0.3067,0.2533,-0.6474,1.487293
0.3067,0.2533,-0.5612,1.718681
0.3067,0.2533,-0.4684,1.804297
0.3067,0.2533,-0.3701,1.884015
0.3067,0.2533,-0.2675,1.613877
0.3067,0.2533,-0.1618,1.207326
0.3067,0.2533,-0.0541,0.048666
0.3067,0.2533,0.0541,0.266214
0.3067,0.2533,0.1618,0.352843
0.3067,0.2533,0.2675,0.440140
0.3067,0.2533,0.3701,0.435224
0.3067,0.2533,0.4684,0.439795
0.3067,0.2533,0.5612,0.558068
0.3067,0.2533,0.6474,0.622241
0.3067,0.2533,0.7260,0.656537
0.3067,0.2533,0.7961,0.679272
0.3067,0.2533,0.8569,0.699900
0.3067,0.2533,0.9076,0.644747
0.3067,0.2533,0.9477,0.607213
0.3067,0.2533,0.9766,0.619196
0.3067,0.2533,0.9941,0.684564
0.3067,0.2533,1.0000,0.637897
0.3067,0.3067,-1.0000,0.456980
0.3067,0.3067,-0.9941,0.583607
0.3067,0.3067,-0.9766,0.582747
0.3067,0.3067,-0.9477,0.629370
0.3067,0.3067,-0.9076,0.651711
0.3067,0.3067,-0.8569,0.660974
0.3067,0.3067,-0.7961,0.640850
0.3067,0.3067,-0.7260,0.551627
0.3067,0.3067,-0.6474,0.619128
0.3067,0.3067,-0.5612,0.579144
0.3067,0.3067,-0.4684,0.624494
0.3067,0.3067,-0.3701,0.594795
0.3067,0.3067,-0.2675,0.526983
0.3067,0.3067,-0.1618,0.530370
0.3067,0.3067,-0.0541,0.568465
0.3067,0.3067,0.0541,0.445128
0.3067,0.3067,0.1618,0.511563
0.3067,0.3067,0.2675,0.462274
0.3067,0.3067,0.3701,0.404833
0.3067,0.3067,0.4684,0.392384
0.3067,0.3067,0.5612,0.394798
0.3067,0.3067,0.6474,0.482538
0.3067,0.3067,0.7260,0.484938
0.3067,0.3067,0.7961,0.486398
0.3067,0.3067,0.8569,0.375749
0.3067,0.3067,0.9076,0.377874
0.3067,0.3067,0.9477,0.558810
0.3067,0.3067,0.9766,0.554292
0.3067,0.3067,0.9941,0.500812
0.3067,0.3067,1.0000,0.485399
0.3600,0.2000,-1.0000,1.019326
0.3600,0.2000,-0.9941,1.022189
0.3600,0.2000,-0.9766,1.024302
0.3600,0.2000,-0.9477,1.027832
0.3600,0.2000,-0.9076,1.029165
0.3600,0.2000,-0.8569,1.034752
0.3600,0.2000,-0.7961,1.039421
0.3600,0.2000,-0.7260,1.043197
0.3600,0.2000,-0.6474,1.049513
0.3600,0.2000,-0.5612,1.057315
0.3600,0.2000,-0.4684,1.068277
0.3600,0.2000,-0.3701,1.087276
0.3600,0.2000,-0.2675,1.121077
0.3600,0.2000,-0.1618,1.222087
0.3600,0.2000,-0.0541,1.345399
0.3600,0.2000,0.0541,0.415296
0.3600,0.2000,0.1618,0.642115
0.3600,0.2000,0.2675,0.703151
0.3600,0.2000,0.3701,0.783169
0.3600,0.2000,0.4684,0.818126
0.3600,0.2000,0.5612,0.843286
0.3600,0.2000,0.6474,0.838518
0.3600,0.2000,0.7260,0.862353
0.3600,0.2000,0.7961,0.878481
0.3600,0.2000,0.8569,0.873504
0.3600,0.2000,0.9076,0.875088
0.3600,0.2000,0.9477,0.893994
0.3600,0.2000,0.9766,0.898953
0.3600,0.2000,0.9941,0.908557
0.3600,0.2000,1.0000,0.918076
0.3600,0.2533,-1.0000,1.040143
0.3600,0.2533,-0.9941,1.043271
0.3600,0.2533,-0.9766,1.048170
0.3600,0.2533,-0.9477,1.051692
0.3600,0.2533,-0.9076,1.058243
0.3600,0.2533,-0.8569,1.065540
0.3600,0.2533,-0.7961,1.071487
0.3600,0.2533,-0.7260,1.081027
0.3600,0.2533,-0.6474,1.092441
0.3600,0.2533,-0.5612,1.106370
0.3600,0.2533,-0.4684,1.130915
0.3600,0.2533,-0.3701,1.171773
0.3600,0.2533,-0.2675,1.255932
