alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.369777
0.2000,0.2000,-0.9941,0.388950
0.2000,0.2000,-0.9766,0.358770
0.2000,0.2000,-0.9477,0.346816
0.2000,0.2000,-0.9076,0.280178
0.2000,0.2000,-0.8569,0.291820
0.2000,0.2000,-0.7961,0.262748
0.2000,0.2000,-0.7260,0.255671
0.2000,0.2000,-0.6474,0.249445
0.2000,0.2000,-0.5612,0.243825
0.2000,0.2000,-0.4684,0.239477
0.2000,0.2000,-0.3701,0.235758
0.2000,0.2000,-0.2675,0.232315
0.2000,0.2000,-0.1618,0.229301
0.2000,0.2000,-0.0541,0.226694
0.2000,0.2000,0.0541,0.224955
0.2000,0.2000,0.1618,0.222932
0.2000,0.2000,0.2675,0.221775
0.2000,0.2000,0.3701,0.221476
0.2000,0.2000,0.4684,0.220337
0.2000,0.2000,0.5612,0.219912
0.2000,0.2000,0.6474,0.219870
0.2000,0.2000,0.7260,0.219833
0.2000,0.2000,0.7961,0.220623
0.2000,0.2000,0.8569,0.221266
0.2000,0.2000,0.9076,0.222224
0.2000,0.2000,0.9477,0.223460
0.2000,0.2000,0.9766,0.224634
0.2000,0.2000,0.9941,0.226570
0.2000,0.2000,1.0000,0.228627
0.2533,0.2000,-1.0000,0.989248
0.2533,0.2000,-0.9941,1.068245
0.2533,0.2000,-0.9766,1.123833
0.2533,0.2000,-0.9477,1.160936
0.2533,0.2000,-0.9076,1.206169
0.2533,0.2000,-0.8569,1.249632
0.2533,0.2000,-0.7961,1.303041
0.2533,0.2000,-0.7260,1.352212
0.2533,0.2000,-0.6474,1.415542
0.2533,0.2000,-0.5612,1.383412
0.2533,0.2000,-0.4684,1.279212
0.2533,0.2000,-0.3701,1.087206
0.2533,0.2000,-0.2675,0.700968
0.2533,0.2000,-0.1618,0.129717
0.2533,0.2000,-0.0541,0.127892
0.2533,0.2000,0.0541,0.126165
0.2533,0.2000,0.1618,0.124878
0.2533,0.2000,0.2675,0.123695
0.2533,0.2000,0.3701,0.122816
0.2533,0.2000,0.4684,0.122121
0.2533,0.2000,0.5612,0.121684
0.2533,0.2000,0.6474,0.121298
0.2533,0.2000,0.7260,0.121173
0.2533,0.2000,0.7961,0.121196
0.2533,0.2000,0.8569,0.121299
0.2533,0.2000,0.9076,0.121619
0.2533,0.2000,0.9477,0.122024
0.2533,0.2000,0.9766,0.122494
0.2533,0.2000,0.9941,0.123106
0.2533,0.2000,1.0000,0.123831
0.2533,0.2533,-1.0000,0.363171
0.2533,0.2533,-0.9941,0.361338
0.2533,0.2533,-0.9766,0.340968
0.2533,0.2533,-0.9477,0.326041
0.2533,0.2533,-0.9076,0.318659
0.2533,0.2533,-0.8569,0.311745
0.2533,0.2533,-0.7961,0.305878
