alpha,beta,rho,fitted_exponent
0.2000,0.2000,-1.0000,0.971417
0.2000,0.2000,-0.9941,0.919487
0.2000,0.2000,-0.9766,0.868963
0.2000,0.2000,-0.9477,0.826663
0.2000,0.2000,-0.9076,0.791664
0.2000,0.2000,-0.8569,0.759439
0.2000,0.2000,-0.7961,0.731733
0.2000,0.2000,-0.7260,0.705832
0.2000,0.2000,-0.6474,0.685356
0.2000,0.2000,-0.5612,0.665557
0.2000,0.2000,-0.4684,0.648622
0.2000,0.2000,-0.3701,0.633503
0.2000,0.2000,-0.2675,0.620728
0.2000,0.2000,-0.1618,0.610607
0.2000,0.2000,-0.0541,0.600598
0.2000,0.2000,0.0541,0.592534
0.2000,0.2000,0.1618,0.585050
0.2000,0.2000,0.2675,0.578269
0.2000,0.2000,0.3701,0.574690
0.2000,0.2000,0.4684,0.571389
0.2000,0.2000,0.5612,0.568837
0.2000,0.2000,0.6474,0.566819
0.2000,0.2000,0.7260,0.565337
0.2000,0.2000,0.7961,0.563262
0.2000,0.2000,0.8569,0.565553
0.2000,0.2000,0.9076,0.566275
0.2000,0.2000,0.9477,0.568129
0.2000,0.2000,0.9766,0.569047
0.2000,0.2000,0.9941,0.571987
0.2000,0.2000,1.0000,0.577570
0.2533,0.2000,-1.0000,0.516036
0.2533,0.2000,-0.9941,0.550869
0.2533,0.2000,-0.9766,0.594022
0.2533,0.2000,-0.9477,0.653401
0.2533,0.2000,-0.9076,0.729161
0.2533,0.2000,-0.8569,0.851381
0.2533,0.2000,-0.7961,1.027355
0.2533,0.2000,-0.7260,1.111804
0.2533,0.2000,-0.6474,1.090395
0.2533,0.2000,-0.5612,1.018975
0.2533,0.2000,-0.4684,0.920894
0.2533,0.2000,-0.3701,0.797918
0.2533,0.2000,-0.2675,0.637602
0.2533,0.2000,-0.1618,0.474727
0.2533,0.2000,-0.0541,0.455645
0.2533,0.2000,0.0541,0.438999
0.2533,0.2000,0.1618,0.425178
0.2533,0.2000,0.2675,0.412070
0.2533,0.2000,0.3701,0.400484
0.2533,0.2000,0.4684,0.391391
0.2533,0.2000,0.5612,0.382523
0.2533,0.2000,0.6474,0.374956
0.2533,0.2000,0.7260,0.368289
0.2533,0.2000,0.7961,0.363886
0.2533,0.2000,0.8569,0.358158
0.2533,0.2000,0.9076,0.353635
0.2533,0.2000,0.9477,0.349824
0.2533,0.2000,0.9766,0.345689
0.2533,0.2000,0.9941,0.343305
0.2533,0.2000,1.0000,0.339770
0.2533,0.2533,-1.0000,0.834232
0.2533,0.2533,-0.9941,0.798992
0.2533,0.2533,-0.9766,0.764622
0.2533,0.2533,-0.9477,0.736717
0.2533,0.2533,-0.9076,0.711132
0.2533,0.2533,-0.8569,0.690087
0.2533,0.2533,-0.7961,0.671778
0.2533,0.2533,-0.7260,0.654998
0.2533,0.2533,-0.6474,0.641081
0.2533,0.2533,-0.5612,0.627897
0.2533,0.2533,-0.4684,0.617519
0.2533,0.2533,-0.3701,0.608862
0.2533,0.2533,-0.2675,0.600328
0.2533,0.2533,-0.1618,0.593247
0.2533,0.2533,-0.0541,0.586982
0.2533,0.2533,0.0541,0.583360
0.2533,0.2533,0.1618,0.578298
0.2533,0.2533,0.2675,0.575672
0.2533,0.2533,0.3701,0.572570
0.2533,0.2533,0.4684,0.570229
0.2533,0.2533,0.5612,0.569622
0.2533,0.2533,0.6474,0.570236
0.2533,0.2533,0.7260,0.571286
0.2533,0.2533,0.7961,0.572569
0.2533,0.2533,0.8569,0.574475
0.2533,0.2533,0.9076,0.576665
0.2533,0.2533,0.9477,0.580725
0.2533,0.2533,0.9766,0.584383
0.2533,0.2533,0.9941,0.588594
0.2533,0.2533,1.0000,0.595408
0.3067,0.2000,-1.0000,0.355982
0.3067,0.2000,-0.9941,0.367072
0.3067,0.2000,-0.9766,0.382288
0.3067,0.2000,-0.9477,0.397863
0.3067,0.2000,-0.9076,0.417992
0.3067,0.2000,-0.8569,0.437947
0.3067,0.2000,-0.7961,0.461194
0.3067,0.2000,-0.7260,0.488452
0.3067,0.2000,-0.6474,0.514783
0.3067,0.2000,-0.5612,0.544170
0.3067,0.2000,-0.4684,0.572227
0.3067,0.2000,-0.3701,0.598876
0.3067,0.2000,-0.2675,0.615890
0.3067,0.2000,-0.1618,0.557366
0.3067,0.2000,-0.0541,0.411462
0.3067,0.2000,0.0541,0.452997
0.3067,0.2000,0.1618,0.516386
0.3067,0.2000,0.2675,0.519674
0.3067,0.2000,0.3701,0.492043
0.3067,0.2000,0.4684,0.458864
0.3067,0.2000,0.5612,0.432440
0.3067,0.2000,0.6474,0.412528
0.3067,0.2000,0.7260,0.393172
0.3067,0.2000,0.7961,0.376782
0.3067,0.2000,0.8569,0.361071
0.3067,0.2000,0.9076,0.351790
0.3067,0.2000,0.9477,0.341871
0.3067,0.2000,0.9766,0.333774
0.3067,0.2000,0.9941,0.326541
0.3067,0.2000,1.0000,0.320624
0.3067,0.2533,-1.0000,0.341051
0.3067,0.2533,-0.9941,0.384122
0.3067,0.2533,-0.9766,0.465438
0.3067,0.2533,-0.9477,0.602154
0.3067,0.2533,-0.9076,0.800603
0.3067,0.2533,-0.8569,0.946929
0.3067,0.2533,-0.7961,0.984181
0.3067,0.2533,-0.7260,0.978951
0.3067,0.2533,-0.6474,0.960843
0.3067,0.2533,-0.5612,0.938358
0.3067,0.2533,-0.4684,0.884624
0.3067,0.2533,-0.3701,0.807542
0.3067,0.2533,-0.2675,0.684994
0.3067,0.2533,-0.1618,0.512773
0.3067,0.2533,-0.0541,0.320013
0.3067,0.2533,0.0541,0.311498
0.3067,0.2533,0.1618,0.303943
0.3067,0.2533,0.2675,0.297483
0.3067,0.2533,0.3701,0.291398
0.3067,0.2533,0.4684,0.284960
0.3067,0.2533,0.5612,0.280354
0.3067,0.2533,0.6474,0.275573
0.3067,0.2533,0.7260,0.272448
0.3067,0.2533,0.7961,0.268780
0.3067,0.2533,0.8569,0.264859
0.3067,0.2533,0.9076,0.261952
0.3067,0.2533,0.9477,0.259045
0.3067,0.2533,0.9766,0.257174
0.3067,0.2533,0.9941,0.254848
0.3067,0.2533,1.0000,0.252041
0.3067,0.3067,-1.0000,0.774193
0.3067,0.3067,-0.9941,0.749336
0.3067,0.3067,-0.9766,0.727458
0.3067,0.3067,-0.9477,0.709905
