a,b,exponent,reliable,a_minus_b
0.10,0.10,0.8215,1,0.00
0.10,0.33,0.0000,0,-0.23
0.10,0.55,0.0000,0,-0.45
0.10,0.78,0.0000,0,-0.68
0.10,1.00,0.0000,0,-0.90
0.33,0.10,0.2158,1,0.23
0.33,0.33,1.0433,1,0.00
0.33,0.55,0.0000,0,-0.23
0.33,0.78,0.0000,0,-0.45
0.33,1.00,0.0000,0,-0.68
0.55,0.10,0.0000,0,0.45
0.55,0.33,0.0000,1,0.23
0.55,0.55,1.0880,1,0.00
0.55,0.78,0.0000,0,-0.22
0.55,1.00,0.0000,0,-0.45
0.78,0.10,0.0000,0,0.68
0.78,0.33,0.0000,0,0.45
0.78,0.55,0.0000,1,0.22
0.78,0.78,1.0257,1,0.00
0.78,1.00,0.0000,0,-0.22
1.00,0.10,0.0000,0,0.90
1.00,0.33,0.0000,0,0.68
1.00,0.55,0.0000,0,0.45
1.00,0.78,0.0000,1,0.22
1.00,1.00,1.0025,1,0.00
