a,b,exponent,reliable,a_minus_b
0.10,0.10,0.7073,1,0.00
0.10,0.33,0.3868,1,-0.23
0.10,0.55,0.4917,1,-0.45
0.10,0.78,0.4710,1,-0.68
0.10,1.00,0.4844,1,-0.90
0.33,0.10,0.2977,1,0.23
0.33,0.33,1.0014,1,0.00
0.33,0.55,0.4306,1,-0.23
0.33,0.78,0.5035,1,-0.45
0.33,1.00,0.4810,1,-0.68
0.55,0.10,0.2480,1,0.45
0.55,0.33,0.1676,1,0.23
0.55,0.55,1.1002,1,0.00
0.55,0.78,0.4370,1,-0.22
0.55,1.00,0.5053,1,-0.45
0.78,0.10,0.3465,1,0.68
0.78,0.33,0.2584,1,0.45
0.78,0.55,0.1532,1,0.22
0.78,0.78,1.0210,1,0.00
0.78,1.00,0.4837,1,-0.22
1.00,0.10,0.3254,1,0.90
1.00,0.33,0.3200,1,0.68
1.00,0.55,0.2569,1,0.45
1.00,0.78,0.1277,1,0.22
1.00,1.00,0.9940,1,0.00
